,Unnamed: 0,ItemID,Sentiment,SentimentText
1000,1000,1001,1,"- Fwd: Good Morn,happy birthday !  regardless of what ppl said yesterday,they don't realize what happend behind the scene.One of the  ..."
1001,1001,1002,0, gah. so much less ok than i was trying to tell myself i was.
1002,1002,1003,0, GCSE's clearly suck.
1003,1003,1004,0,- Geez Chelsea already scored against Everton   1-0
1004,1004,1005,0, gerald lost a friend............idk what to say........this is like day 2 of crazy events.......
1005,1005,1006,0, getting &quot;goodbye&quot; e-mails from #Iran #iranelection
1006,1006,1007,1,-- getting a Mani + Pedi with the husband! 
1007,1007,1008,1, getting a webcam today.
1008,1008,1009,0,"- Getting ready to leave for Spring City, TN - @EzraJane I'm going to miss your show tonight... "
1009,1009,1010,1,- getting ready to watch the Sprint Cup boys try to tame the concrete Monster Mile! hopefully tires won't be too much of an issue! 
1010,1010,1011,0, girls girls. don't fight! you both can have me! there's enough to go around!
1011,1011,1012,0, gnight my phone sucks Bleh
1012,1012,1013,1,-- g'night tweeties! &lt;3 talk to you all in the AM  - @damesmash haha you have work in the AM
1013,1013,1014,0, go away migraine!!! you are not welcome!!!
1014,1014,1015,0, go away rain.
1015,1015,1016,1, go follow my personal twitter! @nikkidallasen
1016,1016,1017,1, Go Wings! FTW!
1017,1017,1018,1,- God i'm up early. Hayley still asleep but today is party day so i'm getting stuff ready.  x
1018,1018,1019,1, going home to see my baby   [dont be ashamed of your faith]
1019,1019,1020,1, going out for dinner with the family 
1020,1020,1021,0, going to bed
1021,1021,1022,1, going to bed.
1022,1022,1023,1,=- going to bed.
1023,1023,1024,0, going to get piï¿½a colada mix to wallow in my sorrows
1024,1024,1025,0," going to have such a bad day, I love my x3 I can't believe I backed into someone "
1025,1025,1026,0, going to lay down. Fuck tonight
1026,1026,1027,1, Going to London Expo this weekend  Can't wait !
1027,1027,1028,0, going to master classes without my car... I miss you my VW!!!
1028,1028,1029,1,"- goingg to sleep  school , then out for pizzaa!"
1029,1029,1030,0, gonna miss jesse mccartney's live stream from kiss concert cuz i have to babysit. figures they dont have internet klfjhadsklfhk fml
1030,1030,1031,1," Gonna WoW for a bit. Later, Twitter &lt;3"
1031,1031,1032,0, good luck!!
1032,1032,1033,1, good morning lovely! 
1033,1033,1034,1, good morning/afternoon. Things will be great today.
1034,1034,1035,1, @only1fe FF @TommyBlack @djksly @Wordsmithmusic&lt;--FF them!Tommy- CHi ALLday K-sly..FLY!!JUNCITY! MANHATTAN!ATL OWWW! ; ) wordsmith fiyah!
1035,1035,1036,1, @pageoneresults Online reality blogging &amp; tweets... My Life On the Social Media D-List
